id;numero;nombre_institucion;depto;dist;cod1;cod2;distrito;departamento;localidad;superficie_texto;superficie;anho
1;1;COLEGIO NACIONAL PRESIDENTE CARLOS A. LOPEZ;1;1;2;1;BELEN;CONCEPCION;MUNICIPIO;20000M2;20000;2014
2;2;ESC. BAS. Nº 2098 NIÑO SALVADOR;1;1;3;1;BELEN;CONCEPCION;COL.EMILIO PEREIRA-MANZ NIÑO SALVAD;20894.1167M2;208941167;2014
3;3;ESC. BAS. Nº 253 TEOFILO MIRANDA Y LIC.NAC.;1;1;4;1;BELEN;CONCEPCION;COL.FDO DE LA MORA;20.000 M2;20000;2014
4;4;ESC. BAS. Nº 1774;1;1;5;1;BELEN;CONCEPCION;TORALES CUE;10.000 M2;10000;2014
5;5;ESC. BAS. Nº 1500 PTE. CNEL. RAFAEL FRANCO;1;1;6;1;BELEN;CONCEPCION;COL.EMILIO R.PERIERA-MANZ KM 28-31;6120 M2;6120;2014
6;6;ESC. BAS. Nº 1331 Y LIC.NAC SANTA ELENA;1;1;7;1;BELEN;CONCEPCION;COL.EMILIO PEREIRA-MANZ SANTA ELENA;16.160 M2;16160;2014
7;7;ESC. BAS. Nº 768;1;1;8;1;BELEN;CONCEPCION;COL.FDO DE LA MORA;20.000 M2;20000;2014
8;8;ESC. BAS. Nº 1889;1;1;9;1;BELEN;CONCEPCION;COL.EMILIO R. PEREIRA;19.505,0516M2;19505;2014
9;9;ESC. BAS. Nº 4956;1;1;10;1;BELEN;CONCEPCION;COL.EMILIO PEREIRA-MANZ.SANTA CRUZ;10554,6246 M2;10554;2014
10;10;ESC. BAS. Nº 2107;1;1;11;1;BELEN;CONCEPCION;COL.EMILIOR.PEREIRA-MANZ LAGUNA;1.250 M2;1250;2014
11;11;ESC. BAS. Nº 2099;1;1;12;1;BELEN;CONCEPCION;COL.EMILIO.PEREIRA-MANZ SANTA CRUZ;14256.3798M2;142563798;2014
12;12;ESC. BAS. Nº 2093 SAN LUYIS GONZAGA Y COLEGIO NACIONAL SANTA ELENA;1;1;13;1;BELEN;CONCEPCION;COL.EMILIO PEREIRA-MANZ SAN NICOLAS;21917.9059M2;219179059;2014
13;13;ESC. BAS. Nº 4955 PROF. DR. LUIS MARIA ARGAÑA;1;1;14;1;BELEN;CONCEPCION;COL.EMILIO R.PEREIRA-MANZ KM 28-31;9.135 M2;9135;2014
14;14;ESC. BAS. Nº 2100;1;1;15;1;BELEN;CONCEPCION;COL.EMILIO R.PEREIRA-JHUGUA OCAMPO;9987,0413 M2;9987;2014
15;15;ESC. BAS. Nº 1775;1;1;16;1;BELEN;CONCEPCION;COL.FDO DE MORA-MANZ PASO URUNDEY;10118 M2;10118;2014
16;16;ESC. BAS. Nº 1776 Y COLEGIO NACIONAL PEDRO B. ALVARENGA;1;1;17;1;BELEN;CONCEPCION;COL.FDO DE LA MORA;2 HA.;20000;2014
17;17;ESC. BAS. Nº 1786 VIRGINIA OSORIO ESTIGARRIBIA;1;1;18;1;BELEN;CONCEPCION;COL.GRAL.DIAZ - POTRERITO;20.000M2;20000;2014
18;18;ESC. BAS. Nº 6689 JUAN CECILIO MONTANIA;1;1;19;1;BELEN;CONCEPCION;SANTA ELENA-COL.EMILIO R. PEREIRA;4.000M2;4000;2014
19;19;ESC. BAS. Nº 187;1;1;20;1;BELEN;CONCEPCION;MUNICIPIO;30000M2;30000;2014
20;20;ESCUELA COL. FERNANDO DE LA MORA;1;1;21;1;BELEN;CONCEPCION;COL.FDO.DE LA MORA-PEGUAJHO MI;12169.3762M2;121693762;2014
21;21;ESC. BAS. Nº 1775;1;1;22;1;BELEN;CONCEPCION;COL.FDO.DE LA MORA;10120.1734M2;101201734;2014
22;22;ESC. BAS. Nº  1777 SANTO REY;1;1;23;1;BELEN;CONCEPCION;COL.FDO. DE LA MORA KM 16;4198.7373M2;41987373;2014
23;23;ESC. BAS. Nº 2101 WALTER ROGELIO CAVE GAVILAN;1;1;24;1;BELEN;CONCEPCION;COL.FDO. DE LA MORA;15.229,5116M2;15229;2014
24;24;ESC. BAS. Nº 6692 NIÑO JESUS;1;1;25;1;BELEN;CONCEPCION;MANZANA PEGUAJHOMI;4.023,6341 M2;4023;2014
25;25;ESC SALVADOR DEL MUNDO;1;1;26;1;BELEN;CONCEPCION;COL.FERNANDO DE LA MORA;3224.7237M2;32247237;2014
26;26;ESC. BAS. Nº 1785;1;2;1;1;CONCEPCION1;CONCEPCION;GRAL. DIAZ;9381 M2;9381;2014
27;27;CENTRO INTEGRAL EDUCATIVO NUEVO AMANECER;1;2;2;1;CONCEPCION1;CONCEPCION;CONCEPCION;1654,51 M2;1654;2014
28;28;ESC. BAS. Nº 592;1;2;3;1;CONCEPCION1;CONCEPCION;ROMERO POTRERO;22.605 M2;22605;2014
29;29;ESC.SUPERIOR Nº 186 JORGE S. MIRANDA;1;2;4;1;CONCEPCION1;CONCEPCION;CONCEPCION;;0;2014
30;30;M.E.C.;1;2;5;1;CONCEPCION1;CONCEPCION;CALERA SAN PEDRO;2500 M2;2500;2014
31;31;ESC. BAS. Nº 27 Y COLEGIONAC.AGUSTIN DE PINEDO;1;2;6;1;CONCEPCION1;CONCEPCION;CONCEPCION;8.500 M2;8500;2014
32;32;ESC. BAS. Nº 294 GASPAR RODRIGUEZ DE FRANCIA;1;2;7;1;CONCEPCION1;CONCEPCION;ABASTO CUE;10.000 M2;10000;2014
33;33;ESC. BAS. Nº 500 Y LIC.NAC. SANTA CATALINA;1;2;8;1;CONCEPCION1;CONCEPCION;JYUGUA OCAMPO;20.000 M2;20000;2014
34;34;ESC. BAS. Nº 2088;1;2;9;1;CONCEPCION1;CONCEPCION;SAN ANTONIO;3750 M2;3750;2014
35;35;ESC. BAS. Nº 840;1;2;10;1;CONCEPCION1;CONCEPCION;COE PORA;20.000 M2;20000;2014
36;36;CENTRO REGIONAL DE EDUCACION;1;2;11;1;CONCEPCION1;CONCEPCION;ABASTO CUE;10.000 M2;10000;2014
37;37;CENTRO REGIONAL DE EDUCACION;1;2;11;2;CONCEPCION1;CONCEPCION;MUNICIPIO;34000M2;34000;2014
38;38;ESC. BAS. Nº 841;1;2;12;1;CONCEPCION1;CONCEPCION;COE PORA;10.550 M2;10550;2014
39;39;ESC. BAS. Nº 841;1;2;12;2;CONCEPCION1;CONCEPCION;COE PORA;;0;2014
40;40;ESC. BAS. Nº 2086;1;2;13;1;CONCEPCION1;CONCEPCION;GRAL. DIAZ;19.600 M2;19600;2014
41;41;ESC. BAS. Nº 2085;1;2;14;1;CONCEPCION1;CONCEPCION;GRAL. DIAZ;15.000 M2;15000;2014
42;42;ESC. BAS. Nº 2085;1;2;14;2;CONCEPCION1;CONCEPCION;COLONIA GRAL.DIAZ;20000M2;20000;2014
43;43;ESC. BAS. Nº 838;1;2;15;1;CONCEPCION1;CONCEPCION;EMILIO PEREIRA;19.022 M2;19022;2014
44;44;ESC. BAS. Nº 2582;1;2;16;1;CONCEPCION1;CONCEPCION;CORONEL MONGES;10.000 M2;10000;2014
45;45;ESC. BAS. Nº 2087;1;2;17;1;CONCEPCION1;CONCEPCION;GRAL. DIAZ;19.685 M2;19685;2014
46;46;ESC. BAS. Nº 2460 NIÑO MILAGROSO;1;2;18;1;CONCEPCION1;CONCEPCION;CHOFERES DEL CHACO;10.000 M2;10000;2014
